"","Update","Unique.Phenotypes.Task","Shannon.Diversity","Unique.Phenotype.Count","Average.Phenotype.Diversity","Average.Task.Diversity","NA","Fitness","Generation","Pop.Size","Unique.Genotypes","Condition","Killed","Patches","Ecology","Initial.Pop","Seed"
"1",1e+05,3,1.11831,12,2.61536,6.30357,NA,231065,782.87,0,0,"100_patches_3_cells_100_killed_ecology-pop1_9009",100,100,"Y","pop1",9009
"2",1e+05,7,2.10218,25,2.66521,6.51167,NA,13746.9,1035.22,0,0,"100_patches_3_cells_100_killed_ecology-pop2_9020",100,100,"Y","pop2",9020
"3",1e+05,6,1.75827,18,2.68479,6.55712,NA,42370.8,994.641,0,0,"100_patches_3_cells_100_killed_ecology-pop2_9021",100,100,"Y","pop2",9021
"4",1e+05,7,2.02808,24,2.67381,6.52389,NA,22060.1,1023.41,0,0,"100_patches_3_cells_100_killed_ecology-pop2_9022",100,100,"Y","pop2",9022
"5",1e+05,6,1.92657,23,2.6849,6.59011,NA,31921.5,1026.51,0,0,"100_patches_3_cells_100_killed_ecology-pop2_9023",100,100,"Y","pop2",9023
"6",1e+05,6,1.78338,14,2.68296,6.56039,NA,46424.8,997.127,0,0,"100_patches_3_cells_100_killed_ecology-pop2_9024",100,100,"Y","pop2",9024
"7",1e+05,6,1.74393,17,2.69872,6.62058,NA,36574.1,993.05,0,0,"100_patches_3_cells_100_killed_ecology-pop2_9025",100,100,"Y","pop2",9025
"8",1e+05,6,1.85502,18,2.66825,6.48624,NA,15725.2,986.422,0,0,"100_patches_3_cells_100_killed_ecology-pop2_9026",100,100,"Y","pop2",9026
"9",1e+05,8,1.97055,30,2.66633,6.51738,NA,13973.5,1046.73,0,0,"100_patches_3_cells_100_killed_ecology-pop2_9027",100,100,"Y","pop2",9027
"10",1e+05,6,1.83187,19,2.66971,6.51915,NA,36742.5,1016.86,0,0,"100_patches_3_cells_100_killed_ecology-pop2_9028",100,100,"Y","pop2",9028
"11",1e+05,6,1.80866,22,2.67522,6.54061,NA,41258.5,1004.07,0,0,"100_patches_3_cells_100_killed_ecology-pop2_9029",100,100,"Y","pop2",9029
"12",1e+05,5,1.26403,54,2.16491,5.40268,NA,2.46391e+31,535.523,0,0,"100_patches_3_cells_100_killed_ecology-pop3_9040",100,100,"Y","pop3",9040
"13",1e+05,3,1.11161,51,2.18706,5.46358,NA,936869,735.717,0,0,"100_patches_3_cells_100_killed_ecology-pop3_9041",100,100,"Y","pop3",9041
"14",1e+05,6,1.46047,77,1.38205,3.45289,NA,6.35358e+33,140.849,0,0,"100_patches_3_cells_100_killed_ecology-pop3_9042",100,100,"Y","pop3",9042
"15",1e+05,6,1.50014,83,1.41074,3.52595,NA,7.74635e+33,127.659,0,0,"100_patches_3_cells_100_killed_ecology-pop3_9043",100,100,"Y","pop3",9043
"16",1e+05,5,1.06664,42,2.29469,5.72367,NA,4.6936e+31,544.829,0,0,"100_patches_3_cells_100_killed_ecology-pop3_9044",100,100,"Y","pop3",9044
"17",1e+05,5,1.4918,81,1.48367,3.70979,NA,7.77485e+33,157.867,0,0,"100_patches_3_cells_100_killed_ecology-pop3_9045",100,100,"Y","pop3",9045
"18",1e+05,4,1.00405,46,2.25044,5.6183,NA,1176550,765.196,0,0,"100_patches_3_cells_100_killed_ecology-pop3_9046",100,100,"Y","pop3",9046
"19",1e+05,6,1.45871,80,1.55734,3.8918,NA,2.45388e+33,155.046,0,0,"100_patches_3_cells_100_killed_ecology-pop3_9047",100,100,"Y","pop3",9047
"20",1e+05,6,1.41663,73,1.57295,3.92849,NA,4.44857e+33,159.531,0,0,"100_patches_3_cells_100_killed_ecology-pop3_9048",100,100,"Y","pop3",9048
"21",1e+05,3,1.57093,3,2.7248,6.62879,NA,1.60913,2825.19,0,0,"100_patches_3_cells_100_killed_ecology-pop4_9060",100,100,"Y","pop4",9060
"22",1e+05,3,1.58077,4,2.73259,6.6639,NA,1.71391,2799.37,0,0,"100_patches_3_cells_100_killed_ecology-pop4_9061",100,100,"Y","pop4",9061
"23",1e+05,3,1.57912,3,2.73178,6.66019,NA,1.50795,2847.05,0,0,"100_patches_3_cells_100_killed_ecology-pop4_9062",100,100,"Y","pop4",9062
"24",1e+05,3,1.58195,3,2.72789,6.64266,NA,1.85313,2805.61,0,0,"100_patches_3_cells_100_killed_ecology-pop4_9063",100,100,"Y","pop4",9063
"25",1e+05,3,1.57246,3,2.7377,6.68679,NA,1.60449,2868.15,0,0,"100_patches_3_cells_100_killed_ecology-pop4_9064",100,100,"Y","pop4",9064
"26",1e+05,3,1.58322,3,2.73833,6.68964,NA,1.61765,2797.02,0,0,"100_patches_3_cells_100_killed_ecology-pop4_9065",100,100,"Y","pop4",9065
"27",1e+05,3,1.57441,3,2.73751,6.68595,NA,1.65586,2762.08,0,0,"100_patches_3_cells_100_killed_ecology-pop4_9066",100,100,"Y","pop4",9066
"28",1e+05,3,1.57991,3,2.74017,6.69792,NA,1.5644,2823.06,0,0,"100_patches_3_cells_100_killed_ecology-pop4_9067",100,100,"Y","pop4",9067
"29",1e+05,3,1.58123,3,2.72784,6.64245,NA,1.70081,2824.68,0,0,"100_patches_3_cells_100_killed_ecology-pop4_9068",100,100,"Y","pop4",9068
"30",1e+05,3,1.57553,3,2.73813,6.68871,NA,1.6846,2800.95,0,0,"100_patches_3_cells_100_killed_ecology-pop4_9069",100,100,"Y","pop4",9069
"31",1e+05,5,1.88262,16,2.71622,6.61634,NA,61.9064,1786.96,0,0,"100_patches_3_cells_100_killed_ecology-pop5_9080",100,100,"Y","pop5",9080
"32",1e+05,6,1.91762,27,2.72395,6.64827,NA,36.3905,1858.32,0,0,"100_patches_3_cells_100_killed_ecology-pop5_9081",100,100,"Y","pop5",9081
"33",1e+05,6,1.81339,17,2.74034,6.71326,NA,74.8338,1784.43,0,0,"100_patches_3_cells_100_killed_ecology-pop5_9082",100,100,"Y","pop5",9082
"34",1e+05,7,1.9376,20,2.7277,6.6669,NA,101.087,1723.09,0,0,"100_patches_3_cells_100_killed_ecology-pop5_9083",100,100,"Y","pop5",9083
"35",1e+05,5,1.79167,23,2.73371,6.69001,NA,36.2476,1798.36,0,0,"100_patches_3_cells_100_killed_ecology-pop5_9084",100,100,"Y","pop5",9084
"36",1e+05,6,1.8303,23,2.74146,6.72785,NA,97.3639,1711.99,0,0,"100_patches_3_cells_100_killed_ecology-pop5_9085",100,100,"Y","pop5",9085
"37",1e+05,5,1.77715,27,2.73434,6.69334,NA,50.5424,1781.14,0,0,"100_patches_3_cells_100_killed_ecology-pop5_9086",100,100,"Y","pop5",9086
"38",1e+05,7,1.92836,24,2.72429,6.66621,NA,105.01,1719.74,0,0,"100_patches_3_cells_100_killed_ecology-pop5_9087",100,100,"Y","pop5",9087
"39",1e+05,6,1.83615,27,2.73864,6.7072,NA,48.2665,1829.58,0,0,"100_patches_3_cells_100_killed_ecology-pop5_9088",100,100,"Y","pop5",9088
"40",1e+05,6,1.94513,19,2.72197,6.63908,NA,186.924,1654.69,0,0,"100_patches_3_cells_100_killed_ecology-pop5_9089",100,100,"Y","pop5",9089
"41",1e+05,8,2.55069,15,2.39411,5.64103,NA,326.977,1282.82,0,0,"100_patches_3_cells_100_killed_ecology-pop6_9100",100,100,"Y","pop6",9100
"42",1e+05,8,2.53748,21,2.42487,5.77344,NA,388.563,1288.29,0,0,"100_patches_3_cells_100_killed_ecology-pop6_9101",100,100,"Y","pop6",9101
"43",1e+05,10,2.63558,22,2.40038,5.65914,NA,219.233,1284.61,0,0,"100_patches_3_cells_100_killed_ecology-pop6_9102",100,100,"Y","pop6",9102
"44",1e+05,7,2.41722,18,2.35335,5.44865,NA,315.019,1280,0,0,"100_patches_3_cells_100_killed_ecology-pop6_9103",100,100,"Y","pop6",9103
"45",1e+05,8,2.56788,18,2.39553,5.63039,NA,352.315,1279.07,0,0,"100_patches_3_cells_100_killed_ecology-pop6_9104",100,100,"Y","pop6",9104
"46",1e+05,7,2.46197,13,2.40205,5.66337,NA,423.424,1284,0,0,"100_patches_3_cells_100_killed_ecology-pop6_9105",100,100,"Y","pop6",9105
"47",1e+05,7,2.41031,12,2.39075,5.613,NA,354.289,1276.49,0,0,"100_patches_3_cells_100_killed_ecology-pop6_9106",100,100,"Y","pop6",9106
"48",1e+05,10,2.58711,23,2.40645,5.66165,NA,338.627,1288.62,0,0,"100_patches_3_cells_100_killed_ecology-pop6_9107",100,100,"Y","pop6",9107
"49",1e+05,8,2.47177,14,2.409,5.70939,NA,227.491,1280.32,0,0,"100_patches_3_cells_100_killed_ecology-pop6_9108",100,100,"Y","pop6",9108
"50",1e+05,7,2.42918,14,2.39781,5.64667,NA,297.033,1288.4,0,0,"100_patches_3_cells_100_killed_ecology-pop6_9109",100,100,"Y","pop6",9109
"51",1e+05,6,1.67713,16,2.80785,7.78015,NA,3355.05,1108.93,0,0,"100_patches_3_cells_100_killed_ecology-pop7_9120",100,100,"Y","pop7",9120
"52",1e+05,7,1.78799,19,2.8181,7.8067,NA,4108.17,1096.44,0,0,"100_patches_3_cells_100_killed_ecology-pop7_9121",100,100,"Y","pop7",9121
"53",1e+05,6,1.79029,29,2.80518,7.68362,NA,7228.12,1087.19,0,0,"100_patches_3_cells_100_killed_ecology-pop7_9122",100,100,"Y","pop7",9122
"54",1e+05,6,1.80183,19,2.81506,7.73723,NA,5406.46,1085.44,0,0,"100_patches_3_cells_100_killed_ecology-pop7_9123",100,100,"Y","pop7",9123
"55",1e+05,6,1.79252,20,2.80451,7.70511,NA,3133.97,1083.75,0,0,"100_patches_3_cells_100_killed_ecology-pop7_9124",100,100,"Y","pop7",9124
"56",1e+05,7,1.59578,20,2.80809,7.64114,NA,5359.18,1072.25,0,0,"100_patches_3_cells_100_killed_ecology-pop7_9125",100,100,"Y","pop7",9125
"57",1e+05,6,1.57421,14,2.80574,7.68362,NA,4465.58,1082.53,0,0,"100_patches_3_cells_100_killed_ecology-pop7_9126",100,100,"Y","pop7",9126
"58",1e+05,6,1.8476,26,2.80455,7.76929,NA,3261.19,1114.99,0,0,"100_patches_3_cells_100_killed_ecology-pop7_9127",100,100,"Y","pop7",9127
"59",1e+05,6,1.70238,13,2.81235,7.73462,NA,4441.47,1100.94,0,0,"100_patches_3_cells_100_killed_ecology-pop7_9128",100,100,"Y","pop7",9128
"60",1e+05,8,1.78284,28,2.81635,7.73415,NA,2894.21,1096.37,0,0,"100_patches_3_cells_100_killed_ecology-pop7_9129",100,100,"Y","pop7",9129
"61",1e+05,3,1.46933,3,2.67017,6.67409,NA,0.628623,3833.07,0,0,"100_patches_3_cells_100_killed_ecology-pop8_9140",100,100,"Y","pop8",9140
"62",1e+05,4,1.58276,5,2.65763,6.61457,NA,0.613635,3833.32,0,0,"100_patches_3_cells_100_killed_ecology-pop8_9141",100,100,"Y","pop8",9141
"63",1e+05,4,1.63903,4,2.63451,6.46797,NA,0.640798,3830.13,0,0,"100_patches_3_cells_100_killed_ecology-pop8_9142",100,100,"Y","pop8",9142
"64",1e+05,3,1.4444,4,2.66773,6.67069,NA,0.6299,3828.86,0,0,"100_patches_3_cells_100_killed_ecology-pop8_9143",100,100,"Y","pop8",9143
"65",1e+05,3,1.49125,5,2.66979,6.6702,NA,0.640716,3802.63,0,0,"100_patches_3_cells_100_killed_ecology-pop8_9144",100,100,"Y","pop8",9144
"66",1e+05,3,1.48192,3,2.66546,6.64749,NA,0.652561,3829.95,0,0,"100_patches_3_cells_100_killed_ecology-pop8_9145",100,100,"Y","pop8",9145
"67",1e+05,3,1.51621,4,2.67261,6.69027,NA,0.639888,3808.43,0,0,"100_patches_3_cells_100_killed_ecology-pop8_9146",100,100,"Y","pop8",9146
"68",1e+05,3,1.38848,3,2.6516,6.53214,NA,0.629423,3858.03,0,0,"100_patches_3_cells_100_killed_ecology-pop8_9147",100,100,"Y","pop8",9147
"69",1e+05,3,1.50431,4,2.66107,6.62586,NA,0.647799,3828.26,0,0,"100_patches_3_cells_100_killed_ecology-pop8_9148",100,100,"Y","pop8",9148
"70",1e+05,4,1.90699,4,2.64003,6.52523,NA,0.634833,3821.12,0,0,"100_patches_3_cells_100_killed_ecology-pop8_9149",100,100,"Y","pop8",9149
"71",1e+05,6,1.25832,48,2.02175,5.38702,NA,1.50087e+30,426.95,0,0,"100_patches_3_cells_100_killed_ecology-pop9_9160",100,100,"Y","pop9",9160
"72",1e+05,7,1.556,69,1.41565,3.76828,NA,6.09935e+29,278.706,0,0,"100_patches_3_cells_100_killed_ecology-pop9_9161",100,100,"Y","pop9",9161
"73",1e+05,7,1.60515,90,1.082,2.86435,NA,6.41914e+24,634.888,0,0,"100_patches_3_cells_100_killed_ecology-pop9_9162",100,100,"Y","pop9",9162
"74",1e+05,7,1.38941,56,1.93766,5.15393,NA,1.3265e+30,509.802,0,0,"100_patches_3_cells_100_killed_ecology-pop9_9163",100,100,"Y","pop9",9163
"75",1e+05,7,1.75861,83,1.62402,4.3382,NA,2.23359e+29,200.408,0,0,"100_patches_3_cells_100_killed_ecology-pop9_9164",100,100,"Y","pop9",9164
"76",1e+05,7,1.59362,81,1.38141,3.66218,NA,2.82155e+29,188.532,0,0,"100_patches_3_cells_100_killed_ecology-pop9_9165",100,100,"Y","pop9",9165
